sentido,t_s,posicion_mm,presion_A_bar,presion_B_bar
extendiendo,18.4169,88.1450,10.3710,17.7820
extendiendo,18.5182,88.3931,10.3810,17.7955
extendiendo,18.6218,88.6554,10.3705,17.7640
extendiendo,18.7158,88.9399,10.4504,17.7828
extendiendo,18.8190,89.2940,10.3632,17.7065
extendiendo,18.9122,89.5891,10.3825,17.7156
extendiendo,19.0152,89.8917,10.3815,17.6938
extendiendo,19.1179,90.1126,10.3888,17.7194
extendiendo,19.2122,90.3912,10.3815,17.7100
extendiendo,19.3165,90.6958,10.3585,17.6656
extendiendo,19.4210,91.0523,10.3606,17.6310
extendiendo,19.5182,91.3207,10.2583,17.5928
extendiendo,19.6220,91.6066,10.2932,17.5904
extendiendo,19.7160,91.8358,10.3230,17.6498
extendiendo,19.8201,92.1750,10.2953,17.6245
extendiendo,19.9140,92.5158,10.3037,17.5696
extendiendo,20.0140,92.8138,10.1852,17.4947
extendiendo,20.1136,93.0978,10.1329,17.3751
extendiendo,20.2177,93.3230,10.1893,17.3828
extendiendo,20.3119,93.6291,10.0891,17.3081
extendiendo,20.4151,93.9555,9.9961,17.0922
extendiendo,20.5182,94.2397,9.6640,16.6014
extendiendo,20.6206,94.4957,9.3753,15.9865
extendiendo,20.7140,94.7103,9.1095,15.4924
extendiendo,20.8176,94.9955,8.8364,15.1376
extendiendo,20.9215,95.2831,8.6323,14.8814
extendiendo,21.0152,95.5969,8.5205,14.7084
extendiendo,21.1189,95.8430,8.4881,14.5894
extendiendo,21.2117,96.0684,8.4438,14.5151
extendiendo,21.3146,96.3075,8.4970,14.5418
extendiendo,21.4202,96.6007,8.4380,14.4810
extendiendo,21.5121,96.9189,8.3237,14.4232
extendiendo,21.6161,97.1628,8.3545,14.4070
extendiendo,21.7187,97.3897,8.3733,14.4205
extendiendo,21.8126,97.6135,8.4573,14.4458
extendiendo,21.9163,97.9064,8.3868,14.4149
extendiendo,22.0198,98.2171,8.3649,14.3956
extendiendo,22.1139,98.4826,8.3461,14.3906
extendiendo,22.2126,98.7221,8.3425,14.3812
extendiendo,22.3169,98.9372,8.4098,14.4158
extendiendo,22.4210,99.2265,8.2960,14.3518
extendiendo,22.5132,99.5704,8.3049,14.3488
extendiendo,22.6168,99.8048,8.3811,14.4105
extendiendo,22.7192,100.0514,8.3545,14.3812
extendiendo,22.8121,100.2523,8.3701,14.3870
extendiendo,22.9146,100.5378,8.3263,14.3732
